"Station.ID" "Date" "dem" "x" "y" "WS" "temp" "HMIX" "PREC" "EMI" "PM10" "time" "logPM10"
"93" 21 2005-10-04 243.6 396.04 4992.42 0.92 285.15 1263.3 14.24 207.42 23 4 3.13549421592915
"94" 22 2005-10-04 118.5 489 4971.8 1.32 285.47 565.46 6.93 32.13 16 4 2.77258872223978
"95" 23 2005-10-04 131 454.26 5019.81 1.1 285.9 844.35 7.09 29.52 18 4 2.89037175789616
"96" 24 2005-10-04 201.4 466.4 5086.6 2.04 286.18 842.23 14.42 21.89 5 4 1.6094379124341
"97" 1 2005-10-05 95.2 469.45 4972.85 0.97 286 563.61 2.42 39.03 24 5 3.17805383034795
"98" 2 2005-10-05 164.1 423.48 4950.69 0.64 285.27 465.31 1.92 21.93 12 5 2.484906649788
"99" 3 2005-10-05 242.9 490.71 4948.86 0.65 284.26 395.51 2.5 8.16 16 5 2.77258872223978
"100" 4 2005-10-05 149.9 437.36 4973.34 1.34 285.54 684.87 2.32 34.28 18 5 2.89037175789616
"101" 5 2005-10-05 405 426.44 5045.66 1.07 285.35 923.42 2.12 37.39 17 5 2.83321334405622
"102" 6 2005-10-05 257.5 394.6 5001.18 1.12 286.15 1044.8 1.55 49 24 5 3.17805383034795
"103" 7 2005-10-05 313.2 457.96 5061.46 1.51 285.54 851.72 0 23.69 14 5 2.63905732961526
"104" 8 2005-10-05 345.2 444.29 5062.64 1.29 284.83 786.77 1.41 15.51 13 5 2.56494935746154
"105" 9 2005-10-05 331 376.96 4993.48 0.74 285.18 945.89 3.1 24.11 16 5 2.77258872223978
"106" 10 2005-10-05 280.4 416.65 4985.65 0.94 285.32 971.93 4.7 6.96 15 5 2.70805020110221
"107" 11 2005-10-05 238.8 399.22 4967.87 0.73 285.68 976.49 4.57 15.7 24 5 3.17805383034795
"108" 12 2005-10-05 118.3 456.49 4998.42 1.2 286.15 542.28 1.84 29.9 5 5 1.6094379124341
"109" 13 2005-10-05 124.7 483.36 5028.7 1.16 286.43 319.53 0 9.89 NA 5 NA
"110" 14 2005-10-05 551.6 383.63 4915.52 1.19 283.59 527.93 8.01 28.92 7 5 1.94591014905531
"111" 15 2005-10-05 271.7 436.69 5046.69 1.21 285.53 823.93 1.12 22.69 21 5 3.04452243772342
"112" 16 2005-10-05 337 386.95 5003.68 0.89 285.74 995.63 2.13 11.32 16 5 2.77258872223978
"113" 17 2005-10-05 154 470.41 5031.91 1.44 285.91 347.26 1.51 44.02 14 5 2.63905732961526
"114" 18 2005-10-05 201.7 483.16 4956.77 0.74 285.27 453.31 3.12 14.96 35 5 3.55534806148941
"115" 19 2005-10-05 374.9 368.18 4971.65 0.87 285.48 1019.9 3.64 26.99 11 5 2.39789527279837
"116" 20 2005-10-05 243.6 393.64 4986.79 0.86 285.7 1024.4 3.25 236.07 17 5 2.83321334405622
"117" 21 2005-10-05 243.6 396.04 4992.42 0.85 286.16 1091.8 2.39 217.3 35 5 3.55534806148941
"118" 22 2005-10-05 118.5 489 4971.8 0.64 285.69 453.95 3.02 33.06 19 5 2.94443897916644
"119" 23 2005-10-05 131 454.26 5019.81 1.01 285.85 362.78 2.35 30.76 27 5 3.29583686600433
"120" 24 2005-10-05 201.4 466.4 5086.6 1.45 286.44 432.17 1.84 22.79 8 5 2.07944154167984
"121" 1 2005-10-06 95.2 469.45 4972.85 1.26 286.78 846.42 4.35 39.52 25 6 3.2188758248682
"122" 2 2005-10-06 164.1 423.48 4950.69 0.89 286.19 853.88 0 22.26 12 6 2.484906649788
"123" 3 2005-10-06 242.9 490.71 4948.86 0.81 285.37 936.75 3.74 8.28 21 6 3.04452243772342
"124" 4 2005-10-06 149.9 437.36 4973.34 1.33 286.42 947.82 1.67 34.7 20 6 2.99573227355399
"125" 5 2005-10-06 405 426.44 5045.66 1.15 285.62 1043.4 9.52 38.01 13 6 2.56494935746154
"126" 6 2005-10-06 257.5 394.6 5001.18 1.46 286.64 1228.6 5.26 49.58 NA 6 NA
"127" 7 2005-10-06 313.2 457.96 5061.46 1.35 285.76 696.73 3.5 24.03 19 6 2.94443897916644
"128" 8 2005-10-06 345.2 444.29 5062.64 1.32 285.19 799.58 5.91 15.73 14 6 2.63905732961526
"129" 9 2005-10-06 331 376.96 4993.48 0.86 285.69 1140.7 6.28 24.39 18 6 2.89037175789616
"130" 10 2005-10-06 280.4 416.65 4985.65 1.14 286.02 1076.7 4.73 7.03 19 6 2.94443897916644
"131" 11 2005-10-06 238.8 399.22 4967.87 0.87 286.53 1127.9 0 15.91 24 6 3.17805383034795
"132" 12 2005-10-06 118.3 456.49 4998.42 1.2 286.68 803.86 4.94 30.36 11 6 2.39789527279837
"133" 13 2005-10-06 124.7 483.36 5028.7 1.06 286.56 248.53 4.27 9.99 NA 6 NA
"134" 14 2005-10-06 551.6 383.63 4915.52 1.39 284.35 921.38 12.62 29.33 10 6 2.30258509299405
"135" 15 2005-10-06 271.7 436.69 5046.69 1.26 285.81 966.89 7.98 23.04 21 6 3.04452243772342
"136" 16 2005-10-06 337 386.95 5003.68 1.32 286.26 1198.8 8.18 11.42 12 6 2.484906649788
"137" 17 2005-10-06 154 470.41 5031.91 1.24 286.16 313.07 9.71 44.7 17 6 2.83321334405622
