"x" "y" "z"
"91" 313 4947 1099.873046875
"92" 313 4951 1243.46203613281
"93" 313 4955 2051.8779296875
"94" 313 4959 2134.68603515625
"95" 313 4963 2465.92309570312
"96" 313 4967 2438.48193359375
"97" 313 4971 1495.45202636719
"98" 313 4975 1341.34497070312
"99" 313 4979 2105.60791015625
"100" 313 4983 2287.21704101562
"101" 313 4987 1785.18896484375
"102" 313 4991 2241.90307617188
"103" 313 4995 2366.2470703125
"104" 313 4999 2523.77709960938
"105" 313 5003 2381.09790039062
"106" 313 5007 1469.29296875
"107" 313 5011 2312.70190429688
"108" 313 5015 3024.48803710938
"109" 313 5019 2887.9970703125
"110" 313 5023 2510.82299804688
"111" 313 5027 2400.40405273438
"112" 313 5031 2145.77587890625
"113" 313 5035 1003.40802001953
"114" 313 5039 1995.94299316406
"115" 313 5043 1492.3330078125
"116" 313 5047 965.307006835938
"117" 313 5051 2176.23388671875
"118" 313 5055 2049.9208984375
"119" 313 5059 1947.09802246094
"120" 313 5063 1568.40002441406
"121" 313 5067 1538.30700683594
"122" 313 5071 1499.98205566406
"123" 313 5075 1852.80603027344
"124" 313 5079 1195.71704101562
"125" 313 5083 1566.07604980469
"126" 313 5087 1219.31005859375
"127" 313 5091 1420.76599121094
"128" 313 5095 1819.33996582031
"129" 313 5099 1488.43103027344
"130" 313 5103 638.974975585938
"131" 313 5107 729.835021972656
"132" 313 5111 1388.4150390625
"133" 313 5115 1558.75805664062
"134" 313 5119 1402.48596191406
"135" 313 5123 1463.21105957031
"136" 313 5127 1564.54296875
"137" 313 5131 1110.34899902344
"138" 313 5135 684.578002929688
"139" 313 5139 702.682006835938
"140" 313 5143 372.005004882812
"141" 313 5147 372
"142" 313 5151 372
"143" 313 5155 395.519989013672
"144" 313 5159 395.519989013672
"145" 317 4875 1433.46203613281
"146" 317 4879 1433.46203613281
"147" 317 4883 1897.94299316406
"148" 317 4887 2276.38989257812
"149" 317 4891 2132.52294921875
"150" 317 4895 1972.81799316406
"151" 317 4899 2419.25390625
"152" 317 4903 2551.78491210938
"153" 317 4907 2564.86206054688
"154" 317 4911 2076.1640625
"155" 317 4915 1671.63403320312
"156" 317 4919 1259.62097167969
"157" 317 4923 2238.94189453125
"158" 317 4927 2112.06591796875
"159" 317 4931 2416.7548828125
"160" 317 4935 2198.40893554688
"161" 317 4939 2019.93896484375
"162" 317 4943 1980.53698730469
"163" 317 4947 1984.60498046875
"164" 317 4951 1460.83801269531
"165" 317 4955 2282.81103515625
"166" 317 4959 2501.23999023438
"167" 317 4963 2374.84497070312
"168" 317 4967 2421.78588867188
"169" 317 4971 1880.84497070312
"170" 317 4975 1842.38696289062
"171" 317 4979 1520.59204101562
"172" 317 4983 1771.07604980469
"173" 317 4987 2148.34692382812
"174" 317 4991 1603.38098144531
"175" 317 4995 1709.61999511719
"176" 317 4999 2333.7119140625
"177" 317 5003 2329.44091796875
"178" 317 5007 1410.24499511719
"179" 317 5011 1955.16198730469
"180" 317 5015 2734.412109375
"181" 317 5019 2357.80200195312
"182" 317 5023 2620.06494140625
"183" 317 5027 2253.83911132812
"184" 317 5031 1757.84301757812
"185" 317 5035 1068.7900390625
"186" 317 5039 1943.92895507812
"187" 317 5043 1912.67504882812
"188" 317 5047 792.221008300781
"189" 317 5051 1464.20202636719
"190" 317 5055 2340.92211914062
"191" 317 5059 2281.66088867188
