"x" "y" "Tmax" "Elevation" "year"
"75" 820834.529967101 4750861.07208711 11.2645161290323 483.068603515625 2020
"76" 772375.006575163 4756890.94739952 11.4483870967742 180.197799682617 2020
"77" 919758.316825627 4649737.18620145 5.35161290322581 1413.53430175781 2020
"78" 617088.885477829 5178524.18590022 2.65806451612903 1553.08044433594 2020
"79" 614392.385842143 5187698.54177797 2.54838709677419 1601.06774902344 2020
"80" 745782.302572794 5180520.99492906 2.69032258064516 1218.77014160156 2020
"81" 851642.809560431 5159815.45680431 5.24516129032258 782.48486328125 2020
"82" 1023951.13277962 4563063.41677222 5.2 929.078247070312 2020
"83" 1138113.72327786 4379930.09738149 4.75483870967742 1536.90747070312 2020
"84" 735443.996311627 5213892.01877366 0.612903225806452 1583.47192382812 2020
"85" 722717.997077101 5163002.01729601 1.87096774193548 1439.93493652344 2020
