yy;mm;banda;SiteID;Tmax;Elevation;x;y
1998;1;38;aeronautica_6883;17.135483870967743;8.166955947875977;807.6839084489704;4202.385179496009
1999;1;39;aeronautica_6883;16.630769230769232;8.166955947875977;807.6839084489704;4202.385179496009
2000;1;40;aeronautica_6883;15.573076923076924;8.166955947875977;807.6839084489704;4202.385179496009
2001;1;41;aeronautica_6883;17.548387096774192;8.166955947875977;807.6839084489704;4202.385179496009
2002;1;42;aeronautica_6883;15.725806451612904;8.166955947875977;807.6839084489704;4202.385179496009
2003;1;43;aeronautica_6883;15.419354838709678;8.166955947875977;807.6839084489704;4202.385179496009
2004;1;44;aeronautica_6883;15.048387096774194;8.166955947875977;807.6839084489704;4202.385179496009
2005;1;45;aeronautica_6883;14.24516129032258;8.166955947875977;807.6839084489704;4202.385179496009
2006;1;46;aeronautica_6883;14.064516129032258;8.166955947875977;807.6839084489704;4202.385179496009
2007;1;47;aeronautica_6883;17.029032258064515;8.166955947875977;807.6839084489704;4202.385179496009
2008;1;48;aeronautica_6883;15.848387096774193;8.166955947875977;807.6839084489704;4202.385179496009
2009;1;49;aeronautica_6883;15.196774193548388;8.166955947875977;807.6839084489704;4202.385179496009
2010;1;50;aeronautica_6883;14.129032258064516;8.166955947875977;807.6839084489704;4202.385179496009
2011;1;51;aeronautica_6883;15.212903225806452;8.166955947875977;807.6839084489704;4202.385179496009
2012;1;52;aeronautica_6883;14.90967741935484;8.166955947875977;807.6839084489704;4202.385179496009
2013;1;53;aeronautica_6883;14.916129032258064;8.166955947875977;807.6839084489704;4202.385179496009
2014;1;54;aeronautica_6883;16.503225806451614;8.166955947875977;807.6839084489704;4202.385179496009
2015;1;55;aeronautica_6883;16;8.166955947875977;807.6839084489704;4202.385179496009
2016;1;56;aeronautica_6883;15.993548387096775;8.166955947875977;807.6839084489704;4202.385179496009
2017;1;57;aeronautica_6883;13.98;8.166955947875977;807.6839084489704;4202.385179496009
2018;1;58;aeronautica_6883;16.04516129032258;8.166955947875977;807.6839084489704;4202.385179496009
2019;1;59;aeronautica_6883;13.451612903225806;8.166955947875977;807.6839084489704;4202.385179496009
